scenario,replication,t_end,h,model,RMSE,MAE,ISE
regime_change,48,134,10,PA,0.22349904673940113,0.17960550051082416,0.04995182389342102
regime_change,48,134,10,VAR1,0.22385717828084645,0.18557626622939632,0.05011203626786267
regime_change,48,134,10,ARHinc,0.22198625401819946,0.18113423028338957,0.04927789697303257
regime_change,48,134,10,KernelARH,0.22394392135979221,0.18561989244838825,0.0501508799140008
regime_change,48,135,1,PM,0.41157868398434105,0.34474295151212403,0.16939701311028207
regime_change,48,135,1,PA,0.3140478691371534,0.25345677928090454,0.09862606410958663
regime_change,48,135,1,VAR1,0.3172608973928473,0.2554696163919421,0.10065447701451477
regime_change,48,135,1,ARHinc,0.3282313095751562,0.26391013382870376,0.10773579258542203
regime_change,48,135,1,KernelARH,0.3261603347798087,0.26270888992002506,0.1063805639836769
regime_change,48,135,5,PM,0.22638679044561638,0.17333374641242105,0.05125097888826742
regime_change,48,135,5,PA,0.2180272433852137,0.17075680688294118,0.04753587885815521
regime_change,48,135,5,VAR1,0.20207474417929938,0.15850882995628213,0.040834202235129284
regime_change,48,135,5,ARHinc,0.20197372453826717,0.1587083434589572,0.04079338540385983
regime_change,48,135,5,KernelARH,0.20224582006998784,0.15871407312663544,0.0409033717357819
regime_change,48,135,10,PM,0.26166617740891257,0.2051192330232045,0.0684691883997925
regime_change,48,135,10,PA,0.2687808050161544,0.22351695075853828,0.07224312114513202
regime_change,48,135,10,VAR1,0.2585825772192941,0.21383977460664477,0.06686494924137219
regime_change,48,135,10,ARHinc,0.25825196723863064,0.2131919810867103,0.06669407858262276
regime_change,48,135,10,KernelARH,0.2588243157848847,0.21402409356701904,0.0669900264415137
regime_change,48,136,1,PM,0.3828536920354639,0.3060066886620632,0.14657694950518582
regime_change,48,136,1,PA,0.26058369207756266,0.21075178951817103,0.067903860576774
regime_change,48,136,1,VAR1,0.2632955031325934,0.210601499350687,0.06932452196984552
regime_change,48,136,1,ARHinc,0.2609523946014538,0.2107136093580579,0.06809615224823287
regime_change,48,136,1,KernelARH,0.2634617989163043,0.21174833515951125,0.06941211948821516
regime_change,48,136,5,PM,0.36475776387402126,0.29113774181554236,0.13304822630637625
regime_change,48,136,5,PA,0.18681852021370524,0.14990225495402265,0.034901159494838595
regime_change,48,136,5,VAR1,0.17945328443146408,0.13914582383365584,0.032203481293239945
regime_change,48,136,5,ARHinc,0.1818768854049524,0.1466900798185604,0.03307920144460618
regime_change,48,136,5,KernelARH,0.17944790532924387,0.13921349589076445,0.032201550727053274
regime_change,48,136,10,PM,0.34829786011021224,0.27971921047230425,0.12131139935735297
regime_change,48,136,10,PA,0.21952812804646302,0.17013694994239706,0.04819259900358427
regime_change,48,136,10,VAR1,0.2247594346971833,0.1734181166966122,0.050516803485397395
regime_change,48,136,10,ARHinc,0.21803720711377939,0.17103908475856092,0.04754022368597712
regime_change,48,136,10,KernelARH,0.22457264242957792,0.17334954103455064,0.050432871727803065
