scenario,replication,h,model,RMSE,MAE,ISE
strong_persistence,264,10,PA,0.2230031562143006,0.18095812658666613,0.06206474721334718
strong_persistence,264,10,PM,0.1946406197806391,0.15289223442787112,0.04077591068147272
strong_persistence,264,10,VAR1,0.2232389934753486,0.18099737069682728,0.062285401506840816
strong_persistence,265,1,ARHinc,0.15898638226344156,0.12573262231221796,0.02771325368929409
strong_persistence,265,1,KernelARH,0.16312292899924893,0.12908710657071965,0.02943316114713141
strong_persistence,265,1,PA,0.16026034148798415,0.12676835284513294,0.028205554536630043
strong_persistence,265,1,PM,0.10908528421115235,0.0846046150588788,0.012249265867583908
strong_persistence,265,1,VAR1,0.16229923806488322,0.12825047192715858,0.029135654335156445
strong_persistence,265,5,ARHinc,0.16438420163923337,0.12976408990057076,0.029813440826475152
strong_persistence,265,5,KernelARH,0.16781745387731786,0.13259744148604274,0.031387827871851716
strong_persistence,265,5,PA,0.16536394934061047,0.13066824961847526,0.03018385366400781
strong_persistence,265,5,PM,0.14981192037022611,0.1117617434135405,0.024339097008549138
strong_persistence,265,5,VAR1,0.16770647472940695,0.13250940819122412,0.03133181831151899
strong_persistence,265,10,ARHinc,0.17029356462695758,0.13466340256623371,0.03229747101182837
strong_persistence,265,10,KernelARH,0.17243073978198026,0.13618890366151423,0.03317966821024691
strong_persistence,265,10,PA,0.1717061269802007,0.13577656815374434,0.032749371555194556
strong_persistence,265,10,PM,0.17871345487967732,0.13410647166497416,0.03474453739873828
strong_persistence,265,10,VAR1,0.1723239996254197,0.1361045942216376,0.03312623418601363
strong_persistence,266,1,ARHinc,0.1701236620546741,0.1375448781481706,0.03185366615524133
strong_persistence,266,1,KernelARH,0.17362127724234613,0.14021379797874375,0.03344538508819252
strong_persistence,266,1,PA,0.17170827923847612,0.13872922652266512,0.03260107186038882
strong_persistence,266,1,PM,0.10658951740357324,0.08265615090246273,0.011719719066516454
strong_persistence,266,1,VAR1,0.17303368125615023,0.13960632454649183,0.033211725177057186
strong_persistence,266,5,ARHinc,0.17193429797929316,0.13838276056102514,0.0328017478804287
strong_persistence,266,5,KernelARH,0.17302901240362756,0.13965095175357106,0.0336898949048696
strong_persistence,266,5,PA,0.1730245579923584,0.13927672576827138,0.03328592604640086
strong_persistence,266,5,PM,0.1495126323322885,0.10949682727366025,0.02412108527419306
strong_persistence,266,5,VAR1,0.1727475610453598,0.13938323821676815,0.033570432956373894
strong_persistence,266,10,ARHinc,0.17339326462568633,0.13948064864907267,0.03405455366243995
strong_persistence,266,10,KernelARH,0.1725290167909462,0.13942958498351876,0.033858696502399276
strong_persistence,266,10,PA,0.17466972046298673,0.1405047210545583,0.03458036841234567
strong_persistence,266,10,PM,0.18260101585803123,0.13483570209069795,0.037264561326486895
