moneda,fecha,PC,score,score_z
usdzar,2025-10-09,PC1,-2.5384420665790657,-0.2906319388892627
usdzar,2025-10-10,PC1,7.003955292351446,0.8018985870546389
usdzar,2025-10-13,PC1,0.6078398014356624,0.06959294535462177
usdzar,2025-10-14,PC1,3.6529452858851013,0.41823391798888987
usdzar,2025-10-15,PC1,-0.6103213592637361,-0.06987706448916334
usdzar,2025-10-16,PC1,2.156515577436179,0.24690431653609357
usdzar,2025-10-17,PC1,6.0202003488724625,0.6892662719904226
usdzar,2025-10-20,PC1,-0.22459030141374448,-0.025713848511644984
usdzar,2025-10-21,PC1,3.4246594995784365,0.39209696510401326
usdzar,2025-10-22,PC1,3.500975208449774,0.4008345221784892
usdzar,2025-10-23,PC1,3.938616541767852,0.4509410622941461
usdzar,2025-10-24,PC1,0.22295033765167485,0.02552608537371283
usdzar,2025-10-27,PC1,-0.01866114185265329,-0.002136556082933945
usdzar,2025-10-28,PC1,-1.2533178151487228,-0.14349517424757136
usdzar,2025-10-29,PC1,0.12717811172649898,0.014560907921431832
usdzar,2025-10-30,PC1,3.546857602963726,0.4060877006748741
usdzar,2025-10-31,PC1,4.042381645965513,0.4628213623486808
usdzar,2025-11-03,PC1,-0.20976946107201877,-0.024016977182101967
usdzar,2025-11-04,PC1,3.27264307334198,0.37469226271517436
usdzar,2025-11-05,PC1,2.6277768738759173,0.3008600818107873
usdzar,2025-11-06,PC1,2.8974660397369236,0.33173740070002294
usdzar,2025-11-07,PC1,2.1322862440645443,0.24413024568826744
usdzar,2025-11-10,PC1,-1.037400564038423,-0.11877432276310372
usdzar,2025-11-11,PC1,-0.661741092029442,-0.0757642252905144
usdzar,2025-11-12,PC1,3.077219197690163,0.35231774385822695
usdzar,2025-11-13,PC1,4.598945305589746,0.5265435869531147
usdzar,2025-11-14,PC1,6.698705236169246,0.766949821887882
usdzar,2025-11-17,PC1,4.785857639741057,0.5479436002888223
usdzar,2025-11-18,PC1,5.644721717163947,0.6462768793303818
usdzar,2025-11-19,PC1,6.566839673839567,0.7518522372090063
usdzar,2025-11-20,PC1,-0.19758335673285596,-0.02262176270065797
usdzar,2025-11-21,PC1,6.617496635456329,0.7576520666267245
usdzar,2025-11-24,PC1,1.7598661213588183,0.2014910285998081
usdzar,2025-11-25,PC1,1.1114051820505129,0.12724727784952683
usdzar,2025-11-26,PC1,-1.7750373505852683,-0.2032280167404751
usdzar,2025-11-27,PC1,-0.2703483915752983,-0.030952795123274437
usdzar,2025-11-28,PC1,0.2809238815015115,0.032163606739747476
usdzar,2025-12-01,PC1,-0.7515271954993382,-0.08604403812545312
usdzar,2025-12-02,PC1,-0.42925560942242064,-0.04914643973484788
usdzar,2025-12-03,PC1,-1.2467322939202994,-0.14274118311717993
usdzar,2025-12-04,PC1,2.65553117254868,0.3040377338604349
usdzar,2025-12-05,PC1,1.6336873411873978,0.18704453639472013
usdzar,2025-12-08,PC1,-0.14950615641744547,-0.01711729595390821
usdzar,2025-12-09,PC1,6.6162811337334375,0.757512901101894
usdzar,2025-12-10,PC1,4.235716957197013,0.48495675676983213
usdzar,2025-12-11,PC1,2.076701554545589,0.23776622962497293
usdzar,2025-12-12,PC1,1.0329322834042534,0.11826273926812896
usdzar,2025-12-15,PC1,-1.4105927154959121,-0.16150193115895484
